Instance,RAND time,A1 time,A2 time,A3 time
eil101,91,125,107,109
a280,718,984,772,1376
att532,5339,6080,5006,5602
pr1002,39628,25900,21410,23377
d1291,95540,45515,40319,46100
d1655,197076,104244,89109,98342
d2103,367981,140303,126630,139569
pcb3038,1085717,579399,520704,730849
