Instance,RAND result,A1 result,A2 result,A3 result,RAND time,A1 time1,A1 time2,A2 time1,A2 time2,A3 time1,A3 time2
eil101,678,673,782,657,401,97,207,38,177,109,192
a280,2858,2640,3051,2670,1040,308,309,212,283,336,783
att532,93993,91267,102081,90934,2429,1070,626,736,615,1113,595
pr1002,283686,274081,345322,273827,5256,3141,1439,2567,1411,3138,1368
d1291,59100,53850,58809,53638,7595,5336,2165,5044,2139,5358,2157
d1655,71689,65669,78284,66496,9701,9578,3466,8702,3457,9483,3448
d2103,93195,83059,88749,83060,13242,14399,5572,13667,5645,14353,5608
pcb3038,155403,145832,167332,145056,25788,34368,18277,31428,18570,34475,18927
rl5915,685312,609563,682457,602215,127870,162444,49566,142272,48619,152858,48455
