Instance,RAND result,A1 result,A2 result,A3 result,Optimum
eil101,0,0,693,0,629
a280,0,0,3007,0,2579
att532,0,0,103244,0,27686
pr1002,0,0,308458,0,259045
d1291,0,0,58035,0,50801
d1655,0,0,74627,0,62128
d2103,0,0,89498,0,80450
