Instance,RAND result,A1 result,A2 result,A3 result,RAND time,A1 time1,A1 time2,A2 time1,A2 time2,A3 time1,A3 time2
eil101,676,662,667,667,402,94,205,87,181,97,177
a280,2855,2731,2780,2780,1051,304,364,316,277,307,275
att532,92886,91480,89237,89237,2295,1041,559,1005,723,1000,566
pr1002,286381,273946,274554,274554,4986,3064,1280,3544,1672,3199,1363
d1291,58690,54195,53440,53440,10556,5501,4028,5329,3154,5385,2155
d1655,71641,65274,66593,66593,9813,9483,3420,9450,3446,9439,3487
d2103,93214,82544,82561,82561,13273,14163,5579,14495,5622,14309,5650
pcb3038,154769,145964,145471,145471,25897,34562,18445,34191,18256,34354,18169
