Instance,RAND time,A1 time,A2 time,A3 time
eil101,0,0,206,0
a280,0,0,1165,0
att532,0,0,4879,0
pr1002,0,0,22174,0
d1291,0,0,41634,0
d1655,0,0,87254,0
d2103,0,0,119525,0
