Instance,RAND result,A1 result,A2 result,A3 result,RAND time,A1 time1,A1 time2,A2 time1,A2 time2,A3 time1,A3 time2
eil101,678,660,753,753,686,130,249,56,267,320,435
a280,2807,2797,3122,3122,2268,432,577,247,581,414,596
att532,93599,90757,103191,103191,4120,1378,1129,808,1052,1449,1190
pr1002,281325,273557,318562,318562,9117,3263,1824,2546,1288,3481,1387
d1291,58417,53991,59187,59187,10082,6125,3213,5347,4087,5404,2083
d1655,71288,66305,75687,75687,9419,9460,3298,8679,3336,9456,3248
d2103,92704,82166,87464,87464,12663,14259,5341,13725,5415,14293,5351
pcb3038,155506,145943,165969,165969,24780,34395,17562,31550,17342,34313,17339
rl5915,680156,607155,687377,687377,122395,172838,65393,155597,76733,163636,64955
