Instance,RAND time,A1 time1,A1 time2,A2 time1,A2 time2,A3 time1,A3 time2
eil101,0,0,0,132,74,0,0
a280,0,0,0,555,610,0,0
att532,0,0,0,848,4031,0,0
pr1002,0,0,0,3360,18814,0,0
d1291,0,0,0,5621,36013,0,0
d1655,0,0,0,8790,78464,0,0
d2103,0,0,0,13659,105866,0,0
